num_venda;data_venda;data_entrega;uf;regiao;gestor;vendedor;departamento;forma_pagamento;valor_venda;status
4085;01/01/2010;06/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;4546.71;Concluída
4086;01/01/2010;08/01/2010;PA;Norte;Elenice Mendes;Luíza Campos;Roupas e Acessórios;Cartão de Débito;329.97;Concluída
4087;02/01/2010;11/01/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Móveis e Decoração;Cartão de Crédito;3887.21;Concluída
4088;03/01/2010;07/01/2010;PR;Sul;Roberta Camargo;Érica Macedo;Eletrodomésticos;Cartão de Crédito;2615.29;Concluída
4089;04/01/2010;09/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Móveis e Decoração;Transferência Eletrônica;1463.97;Concluída
4090;05/01/2010;14/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Casa e Construção;Cartão de Débito;787.99;Concluída
4091;05/01/2010;18/01/2010;AL;Nordeste;Raimundo Moraes;Marcos Reis;Eletrônicos;Cartão de Crédito;6996.45;Concluída
4092;05/01/2010;19/01/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Esporte e Lazer;Cartão de Crédito;1563.79;Concluída
4093;06/01/2010;17/01/2010;MT;Centro-Oeste;Amauri Castro;Isabel Dias;Eletrônicos;Boleto Bancário;9804.85;Concluída
4094;06/01/2010;08/01/2010;PE;Nordeste;Raimundo Moraes;Augusto Melo;Móveis e Decoração;Cartão de Débito;1775.67;Concluída
4097;06/01/2010;11/01/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Esporte e Lazer;Cartão de Crédito;962.09;Concluída
4098;07/01/2010;17/01/2010;BA;Nordeste;Raimundo Moraes;Newton Souza;Móveis e Decoração;Boleto Bancário;2004.53;Concluída
4099;07/01/2010;16/01/2010;AM;Norte;Elenice Mendes;Daniel Leite;Roupas e Acessórios;Transferência Eletrônica;82.21;Cancelada
4100;07/01/2010;13/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Eletrodomésticos;Boleto Bancário;502.93;Concluída
4101;08/01/2010;15/01/2010;MS;Centro-Oeste;Amauri Castro;Marco Aurélio Castro;Eletrônicos;Cartão de Crédito;8404.05;Concluída
4102;08/01/2010;14/01/2010;AC;Norte;Elenice Mendes;Célio Carvalho;Eletrodomésticos;Transferência Eletrônica;1546.31;Concluída
4103;08/01/2010;16/01/2010;CE;Nordeste;Raimundo Moraes;Alice da Silva;Eletrônicos;Cartão de Débito;4421.36;Concluída
4104;09/01/2010;20/01/2010;SC;Sul;Roberta Camargo;João Lima;Casa e Construção;Cartão de Débito;6815.24;Concluída
4107;09/01/2010;12/01/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Casa e Construção;Transferência Eletrônica;3136.93;Concluída
4108;09/01/2010;22/01/2010;MG;Sudeste;Luiz Miranda;Rosângela Almeida;Esporte e Lazer;Cartão de Débito;1811.27;Cancelada
4109;09/01/2010;14/01/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Esporte e Lazer;Cartão de Crédito;785.97;Concluída
4110;09/01/2010;12/01/2010;PA;Norte;Elenice Mendes;Luíza Campos;Esporte e Lazer;Cartão de Crédito;1753.70;Concluída
4111;10/01/2010;16/01/2010;GO;Centro-Oeste;Amauri Castro;Ana Cristina Lopes;Eletrônicos;Cartão de Crédito;5060.80;Concluída
4113;10/01/2010;24/01/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Eletrodomésticos;Cartão de Débito;869.86;Concluída
4114;10/01/2010;22/01/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Esporte e Lazer;Cartão de Crédito;879.85;Concluída
4115;10/01/2010;18/01/2010;RJ;Sudeste;Luiz Miranda;Daniel Campos;Casa e Construção;Cartão de Débito;3659.87;Concluída
4116;10/01/2010;12/01/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Eletrodomésticos;Transferência Eletrônica;1468.38;Concluída
4117;10/01/2010;22/01/2010;SP;Sudeste;Luiz Miranda;Adriana Gomes;Roupas e Acessórios;Cartão de Crédito;180.30;Concluída
4118;10/01/2010;15/01/2010;ES;Sudeste;Luiz Miranda;Marisa Lemos;Casa e Construção;Cartão de Débito;5226.90;Concluída
4119;11/01/2010;14/01/2010;SC;Sul;Roberta Camargo;João Lima;Eletrodomésticos;Boleto Bancário;1320.30;Concluída
4122;11/01/2010;21/01/2010;DF;Centro-Oeste;Amauri Castro;Maria José Dias;Casa e Construção;Transferência Eletrônica;6598.95;Concluída
4124;11/01/2010;26/01/2010;MA;Nordeste;Raimundo Moraes;Luciano Camargo;Casa e Construção;Cartão de Débito;2549.54;Concluída
